Well,Plate,Library,Replica,LibRep,LibRepPlateWell,Row,Column,Compound,Supplier.order.no.,EMBL.CBCF.Id,Supplier,Strain,ID,Environment,Product..common.name.,Family,Target,Specific.Target,Chem.ID,AUC
C7,1,PS1,1,PS1-Rep1,PS1-1-1-C7,C,7,DIFENOCONAZOL,36531-250MG,555485,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Triazole,Fungicide,,45,48.22252226
C8,1,PS1,1,PS1-Rep1,PS1-1-1-C8,C,8,FENAZAFLOR,36504-100MG,555472,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,"Insecticide, Acaricide",Spider mites,55,40.67176144
C9,1,PS1,1,PS1-Rep1,PS1-1-1-C9,C,9,DIFLUFENICAN,45751-100MG,555834,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Herbicide,Broadleaf and grassy weeds,47,49.61947261
D1,1,PS1,1,PS1-Rep1,PS1-1-1-D1,D,1,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,40.76618034
D10,1,PS1,1,PS1-Rep1,PS1-1-1-D10,D,10,TRICYCLAZOLE,45808-10MG,555841,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Triazolobenzothiazole,Fungicide,,149,48.57078891
D11,1,PS1,1,PS1-Rep1,PS1-1-1-D11,D,11,ACLONIFEN,36792-50MG-R,555551,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Nitrophenyl ether,Herbicide,,8,43.74888055
D12,1,PS1,1,PS1-Rep1,PS1-1-1-D12,D,12,BAYTHROID (MIXTURE OF ISOMERS),33738-250MG,555266,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Pyrethroid,Insecticide,,37,41.28836383
D2,1,PS1,1,PS1-Rep1,PS1-1-1-D2,D,2,TOLFENPYRAD,37043-25MG,555564,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,"Insecticide, Acaricide",,148,47.5028797
D3,1,PS1,1,PS1-Rep1,PS1-1-1-D3,D,3,FLORASULAM,32586-50MG,555174,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Triazolopyrimidine sulfonanilide,Herbicide,,65,49.75335798
D4,1,PS1,1,PS1-Rep1,PS1-1-1-D4,D,4,PYMETROZIN,46119-250MG-R,555881,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Triazine,Insecticide,,131,56.07058981
D5,1,PS1,1,PS1-Rep1,PS1-1-1-D5,D,5,PROCHLORAZ,45631-250MG,555769,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Imidazole,Fungicide,,123,50.89227697
D6,1,PS1,1,PS1-Rep1,PS1-1-1-D6,D,6,PYRACLOSTROBIN,33696-100MG-R,555264,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Strobilurin,Fungicide,,132,48.65403861
D7,1,PS1,1,PS1-Rep1,PS1-1-1-D7,D,7,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,51.56080515
D8,1,PS1,1,PS1-Rep1,PS1-1-1-D8,D,8,"4,4-DDT",31041-100MG,446465,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Organochlorine,Insecticide,,159,51.52421682
D9,1,PS1,1,PS1-Rep1,PS1-1-1-D9,D,9,CARBENDAZIM,45368-250MG,555642,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Benzimidazole,Fungicide,,23,57.16131114
E1,1,PS1,1,PS1-Rep1,PS1-1-1-E1,E,1,DIMETHENAMID,31726-100MG,555087,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Herbicide,,48,40.50669115
E10,1,PS1,1,PS1-Rep1,PS1-1-1-E10,E,10,FLUBENDIAMID,32801-100MG,555189,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Ryanoid,Insecticide,,67,53.01374373
E11,1,PS1,1,PS1-Rep1,PS1-1-1-E11,E,11,BIFENAZATE,32504-50MG,555154,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,"Insecticide, Acaricide",Mites,15,44.2348899
E12,1,PS1,1,PS1-Rep1,PS1-1-1-E12,E,12,PENDIMETHALIN,36191-100MG,555464,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Dinitroaniline,Herbicide,,115,41.24581499
E2,1,PS1,1,PS1-Rep1,PS1-1-1-E2,E,2,PHOSMET,36195-100MG,555468,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Organophosphate,Insecticide,,117,46.47995847
E3,1,PS1,1,PS1-Rep1,PS1-1-1-E3,E,3,PICOXYSTROBIN,33658-100MG-R,555260,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Eonate ester,Fungicide,,118,48.49384838
E4,1,PS1,1,PS1-Rep1,PS1-1-1-E4,E,4,DICAMBA,45430-250MG,555679,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,"Dianat, Banvel, Diablo, Oracle and Vanquish",,Herbicide,,43,53.45540754
E5,1,PS1,1,PS1-Rep1,PS1-1-1-E5,E,5,CHLORPYRIPHOS,45395-100MG,473297,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Organophosphate,Insecticide,"Insects, worms",30,52.1924196
E6,1,PS1,1,PS1-Rep1,PS1-1-1-E6,E,6,DELTAMETHRIN,45423-250MG,555673,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Pyrethroid,Insecticide,Malaria vectors,41,51.31338965
